Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.085,24695.9370560582,490.593292181726,40.7692519194689,20.1020825069779,-35.4688339384843,-34713.337693159,-3.83720062119356,845.991380843069,NaN,NaN,10017.4006446493,-486.756091560533,40.6011294950853,-36.835770431768,-17.0756473661989
0.086,26266.9557887187,337.350465610562,40.7692624494886,20.102070295183,-35.4688529631676,-27950.7065371908,-17.6187932585922,845.990149339502,NaN,NaN,1683.75076016473,-319.73167235197,40.601144612289,-36.8357947242222,-17.0756309067328
0.087,25266.823085286,151.082298633513,40.769265552187,20.1020546843127,-35.4688653770266,-18452.1158275952,-29.673198579102,845.98810569367,NaN,NaN,-6814.7072429943,-121.409100054411,40.6011506468774,-36.8358114600383,-17.0756091525586
0.088,21793.4411132732,-49.9779756546756,40.7692619169033,20.1020382050298,-35.4688705381576,-7147.35868694744,-38.8204652795147,845.985460560569,NaN,NaN,-14646.0824100599,88.7984409341904,40.601148107633,-36.8358199054538,-17.0755848963051
0.089,16186.808732621,-246.149181842775,40.7692541412003,20.1020232600796,-35.4688700705421,4856.98262949061,-44.1651731409448,845.982473434966,NaN,NaN,-21043.7913458609,290.31435498372,40.6011390663641,-36.835820640412,-17.0755618131187
0.09,8995.73918649254,-418.228727602257,40.7692443761973,20.1020110346259,-35.4688657750692,16385.8443764635,-45.1841446386263,845.979405121536,NaN,NaN,-25381.583548309,463.412872240884,40.6011254650967,-36.835814988122,-17.0755416661776
0.091,924.144436947917,-549.372262639798,40.7692340492493,20.1020026589694,-35.4688586517985,26310.6956690284,-41.7776728396213,845.976559892349,NaN,NaN,-27234.8400943596,591.149935479419,40.6011084305212,-36.8358038001915,-17.0755252973587
0.092,-7237.86832244554,-626.742530504332,40.7692249138566,20.1019986077885,-35.4688504472458,33660.0187394788,-34.2792229472919,845.974251727958,NaN,NaN,-26422.1504095798,661.021753451624,40.6010904788344,-36.835789196575,-17.0755141163008
0.093,-14691.3449394706,-642.765996252627,40.7692180040219,20.1019978212925,-35.4688429505702,37714.4162627955,-23.4227765032357,845.972704222546,NaN,NaN,-23023.0713207605,666.188772755864,40.601074281174,-36.8357739830628,-17.0755084215411
0.094,-20706.6909875874,-595.874182730483,40.7692136360322,20.1019993777023,-35.4688370477423,38077.0197157239,-10.2710395912651,845.972052604728,NaN,NaN,-17370.328730705,606.145222321748,40.6010605300967,-36.835759163818,-17.0755076935877
0.095,-24695.081734474,-490.657175402248,40.7692121993598,20.1020027185111,-35.4688335029699,34712.3298687706,3.88856993866494,845.972373215836,NaN,NaN,-10017.2481417446,486.768605463583,40.6010498137546,-36.8357455078654,-17.0755116719457
0.096,-26266.1019545836,-337.414331885702,40.7692131877041,20.1020064745482,-35.4688325102714,27949.7024539251,17.6699964485463,845.9736414992,NaN,NaN,-1683.60051093355,319.744335437156,40.6010431253077,-36.8357347731582,-17.075518925779
0.097,-25265.9706914894,-151.146137371161,40.7692153442121,20.1020093646713,-35.468833351062,18451.1157043891,29.7242341316162,845.975729456092,NaN,NaN,6814.85497250333,121.421903239544,40.6010402825878,-36.8357276170491,-17.0755276038804
0.098,-21792.5917415034,49.9141710266317,40.7692179661432,20.1020108462178,-35.46883552514,7146.36104548513,38.871327301642,845.978447309784,NaN,NaN,14646.2306798488,-88.7854983282738,40.6010409281231,-36.835723819648,-17.07553733063
0.099,-16185.9619207039,246.085426942947,40.7692203450692,20.1020104682993,-35.4688384737531,-4857.97799123895,44.2158631868637,845.981530891946,NaN,NaN,21043.9398957898,-290.301290129811,40.6010448385164,-36.8357234661968,-17.0755473909652
0.1,-8994.89359292152,418.165036708864,40.7692214099514,20.102008237815,-35.4688409618986,-16386.8360763242,45.2346683557382,845.984654666177,NaN,NaN,25381.729654693,-463.399705064603,40.601050563051,-36.8357257882381,-17.0755559932071
0.101,-923.301016982801,549.308639571828,40.7692206588847,20.1020047009802,-35.4688421030994,-26311.6835541754,41.8280288391294,845.987515654159,NaN,NaN,27234.984559636,-591.136668410958,40.6010568988281,-36.8357297405005,-17.0755625320715
0.102,7238.70849960279,626.678981948808,40.7692180088395,20.102000277226,-35.4688415642052,-33661.0041352037,34.3294061348863,845.989856817332,NaN,NaN,26422.295628241,-661.008388083694,40.6010639076594,-36.835735306777,-17.0755671894934
0.103,14692.1831481328,642.702536760901,40.769213536695,20.1019957400427,-35.4688389952074,-37715.3993110774,23.4727885385593,845.991441941844,NaN,NaN,23023.2161604716,-666.175325299461,40.6010708434029,-36.8357418168843,-17.0755696370829
0.104,20707.5279014418,595.810819976014,40.769207905974,20.101992282329,-35.4688344827077,-38077.9991799496,10.3208855820885,845.992100797294,NaN,NaN,17370.4712811689,-606.131705558102,40.6010763957105,-36.8357477206034,-17.0755701033491
0.105,24695.9158313684,490.593909619836,40.7692018620849,20.1019905414554,-35.4688285222766,-34713.3056507421,-3.83889127078416,845.99177655748,NaN,NaN,10017.3898269115,-486.755018349052,40.6010804793374,-36.8357526827957,-17.0755691085698
0.106,26266.9329464692,337.35117101151,40.7691960122748,20.1019908651958,-35.4688216148051,-27950.6757406877,-17.6204895014933,845.990504284132,NaN,NaN,1683.74280590045,-319.730681510016,40.6010832288534,-36.8357568985585,-17.0755665518478
0.107,25266.8001894213,151.08309356931,40.7691914475564,20.1019937191058,-35.4688147504894,-18452.0865884247,-29.6748971847248,845.988405698888,NaN,NaN,-6814.71358631007,-121.408196384585,40.6010844241029,-36.8357598570675,-17.0755630116721
0.108,21793.4196124833,-49.9770956381013,40.7691891405122,20.1019990250061,-35.4688090915597,-7147.32842154832,-38.8221557421856,845.985698032443,NaN,NaN,-14646.0911746779,88.7992513802869,40.6010844516167,-36.8357614571247,-17.0755596254153
0.109,16186.7865488564,-246.148233084793,40.7691893357813,20.1020062917569,-35.4688051975669,4857.01417654576,-44.1668581908976,845.98264767958,NaN,NaN,-21043.8007091604,290.315091275691,40.6010835826749,-36.8357619765771,-17.0755564387316
0.11,8995.71548183076,-418.227715283614,40.7691922484205,20.1020149539036,-35.4688036361773,16385.8747607113,-45.1858337128871,845.979536553105,NaN,NaN,-25381.5902279026,463.413548996501,40.6010816718995,-36.8357613259713,-17.0755532989221
0.111,924.121667498496,-549.371181812665,40.7691979594375,20.102023930268,-35.4688051132644,26310.7246856361,-41.7793628021139,845.976673229033,NaN,NaN,-27234.8463415255,591.150544614779,40.6010793540195,-36.8357599246152,-17.0755508106622
0.112,-7237.88993043146,-626.741389648524,40.7692058985319,20.1020320950938,-35.468809611329,33660.0487005541,-34.2809045427234,845.974354533818,NaN,NaN,-26422.1587626763,661.022294191248,40.6010773439137,-36.8357584684336,-17.0755491724772
0.113,-14691.3679794427,-642.764809838599,40.7692153701654,20.1020388140001,-35.4688166904305,37714.4473272893,-23.4244524710153,845.972799434694,NaN,NaN,-23023.0793452882,666.189262309615,40.6010754274217,-36.8357568241033,-17.0755481627592
0.114,-20706.7150268176,-595.872949011046,40.7692255045525,20.102043196732,-35.4688258553588,38077.0496971994,-10.2727182968679,845.97214655121,NaN,NaN,-17370.3346729569,606.145667307914,40.6010735809423,-36.8357549380192,-17.0755478410295
