Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.101,-923.301017,549.3086396,40.76922066,20.1020047,-35.4688421,-26311.68355,41.82802884,845.9875157,NaN,NaN,27234.98456,-591.1366684,40.6010569,-36.83572974,-17.07556253
0.102,7238.7085,626.6789819,40.76921801,20.10200028,-35.46884156,-33661.00414,34.32940613,845.9898568,NaN,NaN,26422.29563,-661.0083881,40.60106391,-36.83573531,-17.07556719
0.103,14692.18315,642.7025368,40.76921354,20.10199574,-35.468839,-37715.39931,23.47278854,845.9914419,NaN,NaN,23023.21616,-666.1753253,40.60107084,-36.83574182,-17.07556964
0.104,20707.5279,595.81082,40.76920791,20.10199228,-35.46883448,-38077.99918,10.32088558,845.9921008,NaN,NaN,17370.47128,-606.1317056,40.6010764,-36.83574772,-17.0755701
0.105,24695.91583,490.5939096,40.76920186,20.10199054,-35.46882852,-34713.30565,-3.838891271,845.9917766,NaN,NaN,10017.38983,-486.7550183,40.60108048,-36.83575268,-17.07556911
0.106,26266.93295,337.351171,40.76919601,20.10199087,-35.46882161,-27950.67574,-17.6204895,845.9905043,NaN,NaN,1683.742806,-319.7306815,40.60108323,-36.8357569,-17.07556655
0.107,25266.80019,151.0830936,40.76919145,20.10199372,-35.46881475,-18452.08659,-29.67489718,845.9884057,NaN,NaN,-6814.713586,-121.4081964,40.60108442,-36.83575986,-17.07556301
0.108,21793.41961,-49.97709564,40.76918914,20.10199903,-35.46880909,-7147.328422,-38.82215574,845.985698,NaN,NaN,-14646.09117,88.79925138,40.60108445,-36.83576146,-17.07555963
0.109,16186.78655,-246.1482331,40.76918934,20.10200629,-35.4688052,4857.014177,-44.16685819,845.9826477,NaN,NaN,-21043.80071,290.3150913,40.60108358,-36.83576198,-17.07555644
0.11,8995.715482,-418.2277153,40.76919225,20.10201495,-35.46880364,16385.87476,-45.18583371,845.9795366,NaN,NaN,-25381.59023,463.413549,40.60108167,-36.83576133,-17.0755533
0.111,924.1216675,-549.3711818,40.76919796,20.10202393,-35.46880511,26310.72469,-41.7793628,845.9766732,NaN,NaN,-27234.84634,591.1505446,40.60107935,-36.83575992,-17.07555081
0.112,-7237.88993,-626.7413896,40.7692059,20.1020321,-35.46880961,33660.0487,-34.28090454,845.9743545,NaN,NaN,-26422.15876,661.0222942,40.60107734,-36.83575847,-17.07554917
0.113,-14691.36798,-642.7648098,40.76921537,20.10203881,-35.46881669,37714.44733,-23.42445247,845.9727994,NaN,NaN,-23023.07935,666.1892623,40.60107543,-36.83575682,-17.07554816
0.114,-20706.71503,-595.872949,40.7692255,20.1020432,-35.46882586,38077.0497,-10.2727183,845.9721466,NaN,NaN,-17370.33467,606.1456673,40.60107358,-36.83575494,-17.07554784
